id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
256,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,1635,ORANG,2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,9355,ORANG,2023
258,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,8972,ORANG,2023
259,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,2298,ORANG,2023
260,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,1829,ORANG,2023
261,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,7980,ORANG,2023
262,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,6299,ORANG,2023
263,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,4255,ORANG,2023
264,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,3594,ORANG,2023
265,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,2260,ORANG,2023
266,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,2342,ORANG,2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,2590,ORANG,2023
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,2159,ORANG,2023
269,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,720,ORANG,2023
270,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,455,ORANG,2023
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,16212,ORANG,2024
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,12898,ORANG,2024
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,6859,ORANG,2024
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,5552,ORANG,2024
275,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,6450,ORANG,2024
